demonstrativo;codigo;descricao;nivel;ano;valor
DFC;6.01.01.16;Provisões diversas;4;2025;125,9
DFC;6.01.01.18;Outros;4;2023;53,8
DFC;6.01.01.18;Outros;4;2024;27,0
DFC;6.01.01.18;Outros;4;2025;37,3
DFC;6.01.02;Variações nos Ativos e Passivos;3;2023;516,9
DFC;6.01.02;Variações nos Ativos e Passivos;3;2024;-286,9
DFC;6.01.02;Variações nos Ativos e Passivos;3;2025;605,2
DFC;6.01.02.01;Investimentos financeiros;4;2023;16,1
DFC;6.01.02.01;Investimentos financeiros;4;2024;-649,3
DFC;6.01.02.01;Investimentos financeiros;4;2025;516,9
DFC;6.01.02.02;Instrumentos financeiros derivativos;4;2023;101,6
DFC;6.01.02.02;Instrumentos financeiros derivativos;4;2024;-142,7
DFC;6.01.02.02;Instrumentos financeiros derivativos;4;2025;-118,2
DFC;6.01.02.03;Contas a receber;4;2023;-22,4
DFC;6.01.02.03;Contas a receber;4;2024;-913,1
DFC;6.01.02.03;Contas a receber;4;2025;198,4
DFC;6.01.02.04;Financiamento a clientes;4;2023;32,9
DFC;6.01.02.04;Financiamento a clientes;4;2024;134,4
DFC;6.01.02.04;Financiamento a clientes;4;2025;118,6
DFC;6.01.02.05;Ativos de contrato;4;2023;-39,9
DFC;6.01.02.05;Ativos de contrato;4;2024;-535,0
DFC;6.01.02.05;Ativos de contrato;4;2025;268,3
DFC;6.01.02.06;Estoques;4;2023;-1572,5
DFC;6.01.02.06;Estoques;4;2024;-1357,8
DFC;6.01.02.06;Estoques;4;2025;-2433,7
DFC;6.01.02.07;Outros ativos;4;2023;-560,2
DFC;6.01.02.07;Outros ativos;4;2024;-245,7
DFC;6.01.02.07;Outros ativos;4;2025;-382,8
DFC;6.01.02.08;Fornecedores e Fornecedores - Acordos de financiamento;4;2023;253,2
DFC;6.01.02.08;Fornecedores e Fornecedores - Acordos de financiamento;4;2024;985,6
DFC;6.01.02.08;Fornecedores e Fornecedores - Acordos de financiamento;4;2025;994,6
DFC;6.01.02.09;Contas a pagar;4;2023;352,4
DFC;6.01.02.09;Contas a pagar;4;2024;92,7
DFC;6.01.02.09;Contas a pagar;4;2025;2241,0
DFC;6.01.02.10;Passivos de contrato;4;2023;2911,4
DFC;6.01.02.10;Passivos de contrato;4;2024;4139,6
DFC;6.01.02.10;Passivos de contrato;4;2025;831,0
DFC;6.01.02.11;Impostos a recolher;4;2023;487,8
DFC;6.01.02.11;Impostos a recolher;4;2024;-314,9
DFC;6.01.02.11;Impostos a recolher;4;2025;-357,0
DFC;6.01.02.13;Receitas diferidas;4;2023;13,8
DFC;6.01.02.13;Receitas diferidas;4;2024;20,5
DFC;6.01.02.13;Receitas diferidas;4;2025;39,2
DFC;6.01.02.14;IR e CS pagos;4;2023;-598,2
DFC;6.01.02.14;IR e CS pagos;4;2024;-569,3
DFC;6.01.02.14;IR e CS pagos;4;2025;-411,2
DFC;6.01.02.15;Juros pagos;4;2023;-859,2
DFC;6.01.02.15;Juros pagos;4;2024;-931,5
DFC;6.01.02.15;Juros pagos;4;2025;-899,9
DFC;6.02;Caixa Líquido Atividades de Investimento;2;2023;-2250,0
DFC;6.02;Caixa Líquido Atividades de Investimento;2;2024;-3214,1
DFC;6.02;Caixa Líquido Atividades de Investimento;2;2025;-2582,4
DFC;6.02.01;Aquisições de imobilizado;3;2023;-1187,6
DFC;6.02.01;Aquisições de imobilizado;3;2024;-1068,6
DFC;6.02.01;Aquisições de imobilizado;3;2025;-1044,7
DFC;6.02.02;Baixa de imobilizado;3;2023;95,7
DFC;6.02.02;Baixa de imobilizado;3;2024;68,9
DFC;6.02.02;Baixa de imobilizado;3;2025;94,0
DFC;6.02.03;Adições ao intangível;3;2023;-955,0
DFC;6.02.03;Adições ao intangível;3;2024;-1445,2
DFC;6.02.03;Adições ao intangível;3;2025;-1651,6
DFC;6.02.04;Adições investimentos em subsidiárias e coligadas, líquido do caixa adquirido;3;2023;-124,3
DFC;6.02.04;Adições investimentos em subsidiárias e coligadas, líquido do caixa adquirido;3;2024;-95,4
DFC;6.02.04;Adições investimentos em subsidiárias e coligadas, líquido do caixa adquirido;3;2025;-66,9
DFC;6.02.06;Aquisição de investimentos financeiros;3;2023;-594,2
DFC;6.02.06;Aquisição de investimentos financeiros;3;2024;-1450,9
DFC;6.02.06;Aquisição de investimentos financeiros;3;2025;-1514,9
DFC;6.02.07;Alienação de investimentos financeiros;3;2023;579,9
DFC;6.02.07;Alienação de investimentos financeiros;3;2024;476,8
DFC;6.02.07;Alienação de investimentos financeiros;3;2025;2108,1
DFC;6.02.08;Alienação de investimento;3;2023;201,9
DFC;6.02.08;Alienação de investimento;3;2024;0,0
DFC;6.02.08;Alienação de investimento;3;2025;0,0
DFC;6.02.09;Recebimento (concessão) de empréstimos;3;2023;-296,5
DFC;6.02.09;Recebimento (concessão) de empréstimos;3;2024;297,5
DFC;6.02.09;Recebimento (concessão) de empréstimos;3;2025;-506,3
DFC;6.02.10;Dividendos recebidos;3;2023;30,2
DFC;6.02.10;Dividendos recebidos;3;2024;2,9
DFC;6.02.10;Dividendos recebidos;3;2025;0,0
DFC;6.03;Caixa Líquido Atividades de Financiamento;2;2023;-1723,1
DFC;6.03;Caixa Líquido Atividades de Financiamento;2;2024;-1911,4
DFC;6.03;Caixa Líquido Atividades de Financiamento;2;2025;787,5
DFC;6.03.01;Empréstimos obtidos;3;2023;9926,1
DFC;6.03.01;Empréstimos obtidos;3;2024;4216,5
DFC;6.03.01;Empréstimos obtidos;3;2025;16374,0
DFC;6.03.02;Financiamentos pagos;3;2023;-11561,3
DFC;6.03.02;Financiamentos pagos;3;2024;-6375,6
DFC;6.03.02;Financiamentos pagos;3;2025;-15616,7
DFC;6.03.03;Aumento de capital;3;2023;46,9
DFC;6.03.03;Aumento de capital;3;2024;0,0
DFC;6.03.03;Aumento de capital;3;2025;-1000,1
DFC;6.03.04;Dividendos e juros sobre capital próprio;3;2023;-66,6
DFC;6.03.04;Dividendos e juros sobre capital próprio;3;2024;0,0
DFC;6.03.04;Dividendos e juros sobre capital próprio;3;2025;-130,8
DFC;6.03.05;Recebimento na oferta de ações de controlada;3;2023;0,0
DFC;6.03.05;Recebimento na oferta de ações de controlada;3;2024;363,6
DFC;6.03.05;Recebimento na oferta de ações de controlada;3;2025;1143,9
DFC;6.03.06;Custos na oferta de ações de controlada;3;2023;0,0
DFC;6.03.06;Custos na oferta de ações de controlada;3;2024;-13,1
DFC;6.03.06;Custos na oferta de ações de controlada;3;2025;-68,6
DFC;6.03.07;Pagamentos de arrendamentos;3;2023;-68,2
DFC;6.03.07;Pagamentos de arrendamentos;3;2024;-102,7
DFC;6.03.07;Pagamentos de arrendamentos;3;2025;-132,3
DFC;6.03.08;Recursos provenientes de venda de recebível;3;2023;0,0
DFC;6.03.08;Recursos provenientes de venda de recebível;3;2024;0,0
DFC;6.03.08;Recursos provenientes de venda de recebível;3;2025;218,2
DFC;6.04;Variação Cambial s/ Caixa e Equivalentes;2;2023;-453,8
DFC;6.04;Variação Cambial s/ Caixa e Equivalentes;2;2024;1398,2
DFC;6.04;Variação Cambial s/ Caixa e Equivalentes;2;2025;-1638,9
DFC;6.05;Aumento (Redução) de Caixa e Equivalentes;2;2023;-1599,8
DFC;6.05;Aumento (Redução) de Caixa e Equivalentes;2;2024;1805,2
DFC;6.05;Aumento (Redução) de Caixa e Equivalentes;2;2025;1050,1
DFC;6.05.01;Saldo Inicial de Caixa e Equivalentes;3;2023;9473,3
DFC;6.05.01;Saldo Inicial de Caixa e Equivalentes;3;2024;7873,5
DFC;6.05.01;Saldo Inicial de Caixa e Equivalentes;3;2025;9678,7
DFC;6.05.02;Saldo Final de Caixa e Equivalentes;3;2023;7873,5
DFC;6.05.02;Saldo Final de Caixa e Equivalentes;3;2024;9678,7
DFC;6.05.02;Saldo Final de Caixa e Equivalentes;3;2025;10728,8
DRE;3.01;Receita de Venda de Bens e/ou Serviços;2;2023;26110,5
DRE;3.01;Receita de Venda de Bens e/ou Serviços;2;2024;35424,2
DRE;3.01;Receita de Venda de Bens e/ou Serviços;2;2025;41883,2
DRE;3.02;Custo dos Bens e/ou Serviços Vendidos;2;2023;-21607,1
DRE;3.02;Custo dos Bens e/ou Serviços Vendidos;2;2024;-29041,9
DRE;3.02;Custo dos Bens e/ou Serviços Vendidos;2;2025;-34524,9
DRE;3.03;Resultado Bruto;2;2023;4503,4
DRE;3.03;Resultado Bruto;2;2024;6382,2
DRE;3.03;Resultado Bruto;2;2025;7358,3
DRE;3.04;Despesas/Receitas Operacionais;2;2023;-2980,8
DRE;3.04;Despesas/Receitas Operacionais;2;2024;-2610,1
DRE;3.04;Despesas/Receitas Operacionais;2;2025;-4010,2
DRE;3.04.01;Despesas com Vendas;3;2023;-1569,5
DRE;3.04.01;Despesas com Vendas;3;2024;-1671,4
DRE;3.04.01;Despesas com Vendas;3;2025;-1886,2
DRE;3.04.02;Despesas Gerais e Administrativas;3;2023;-1022,5
DRE;3.04.02;Despesas Gerais e Administrativas;3;2024;-1074,8
DRE;3.04.02;Despesas Gerais e Administrativas;3;2025;-1191,0
DRE;3.04.03;Perdas pela Não Recuperabilidade de Ativos;3;2023;49,0
DRE;3.04.03;Perdas pela Não Recuperabilidade de Ativos;3;2024;-121,6
DRE;3.04.03;Perdas pela Não Recuperabilidade de Ativos;3;2025;-20,9
DRE;3.04.03.01;Reversão (perda) de crédito esperada;4;2023;49,0
DRE;3.04.03.01;Reversão (perda) de crédito esperada;4;2024;-121,6
DRE;3.04.03.01;Reversão (perda) de crédito esperada;4;2025;-20,9
DRE;3.04.04;Outras Receitas Operacionais;3;2023;844,2
DRE;3.04.04;Outras Receitas Operacionais;3;2024;1455,9
DRE;3.04.04;Outras Receitas Operacionais;3;2025;510,4
DRE;3.04.05;Outras Despesas Operacionais;3;2023;-1331,9
DRE;3.04.05;Outras Despesas Operacionais;3;2024;-1174,5
DRE;3.04.05;Outras Despesas Operacionais;3;2025;-1383,7
DRE;3.04.05.01;Pesquisa;4;2023;-452,8
DRE;3.04.05.01;Pesquisa;4;2024;-298,1
DRE;3.04.05.01;Pesquisa;4;2025;-412,6
DRE;3.04.05.02;Despesas Operacionais;4;2023;-879,1
DRE;3.04.05.02;Despesas Operacionais;4;2024;-876,4
DRE;3.04.05.02;Despesas Operacionais;4;2025;-971,2
DRE;3.04.06;Resultado de Equivalência Patrimonial;3;2023;50,0
DRE;3.04.06;Resultado de Equivalência Patrimonial;3;2024;-23,6
DRE;3.04.06;Resultado de Equivalência Patrimonial;3;2025;-38,7
DRE;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;2;2023;1522,6
DRE;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;2;2024;3772,1
DRE;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;2;2025;3348,1
DRE;3.06;Resultado Financeiro;2;2023;-963,7
DRE;3.06;Resultado Financeiro;2;2024;-663,2
DRE;3.06;Resultado Financeiro;2;2025;-1892,5
DRE;3.06.01;Receitas Financeiras;3;2023;941,3
DRE;3.06.01;Receitas Financeiras;3;2024;1106,5
DRE;3.06.01;Receitas Financeiras;3;2025;1793,8
DRE;3.06.01.01;Variações Monetárias Ativas;4;2023;105,6
DRE;3.06.01.01;Variações Monetárias Ativas;4;2024;-542,4
DRE;3.06.01.01;Variações Monetárias Ativas;4;2025;39,5
DRE;3.06.01.02;Receitas Financeiras;4;2023;835,7
DRE;3.06.01.02;Receitas Financeiras;4;2024;1648,9
DRE;3.06.01.02;Receitas Financeiras;4;2025;1754,3
DRE;3.06.02;Despesas Financeiras;3;2023;-1905,1
DRE;3.06.02;Despesas Financeiras;3;2024;-1769,7
DRE;3.06.02;Despesas Financeiras;3;2025;-3686,3
DRE;3.06.02.01;Variações Monetárias Passivas;4;2023;-140,9
DRE;3.06.02.01;Variações Monetárias Passivas;4;2024;494,9
DRE;3.06.02.01;Variações Monetárias Passivas;4;2025;-243,8
DRE;3.06.02.02;Despesas Financeiras;4;2023;-1797,5
DRE;3.06.02.02;Despesas Financeiras;4;2024;-2280,2
DRE;3.06.02.02;Despesas Financeiras;4;2025;-3417,0
DRE;3.06.02.03;Instrumentos financeiros derivativos;4;2023;33,4
DRE;3.06.02.03;Instrumentos financeiros derivativos;4;2024;15,5
DRE;3.06.02.03;Instrumentos financeiros derivativos;4;2025;-25,5
DRE;3.07;Resultado Antes dos Tributos sobre o Lucro;2;2023;558,9
DRE;3.07;Resultado Antes dos Tributos sobre o Lucro;2;2024;3108,9
DRE;3.07;Resultado Antes dos Tributos sobre o Lucro;2;2025;1455,6
DRE;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;2;2023;225,5
DRE;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;2;2024;-1185,1
DRE;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;2;2025;536,4
DRE;3.08.01;Corrente;3;2023;-537,8
DRE;3.08.01;Corrente;3;2024;-507,0
DRE;3.08.01;Corrente;3;2025;536,4
DRE;3.08.02;Diferido;3;2023;763,3
DRE;3.08.02;Diferido;3;2024;-678,1
DRE;3.08.02;Diferido;3;2025;0,0
DRE;3.09;Resultado Líquido das Operações Continuadas;2;2023;784,4
DRE;3.09;Resultado Líquido das Operações Continuadas;2;2024;1923,8
DRE;3.09;Resultado Líquido das Operações Continuadas;2;2025;1992,0
DRE;3.11;Lucro/Prejuízo Consolidado do Período;2;2023;784,4
DRE;3.11;Lucro/Prejuízo Consolidado do Período;2;2024;1923,8
DRE;3.11;Lucro/Prejuízo Consolidado do Período;2;2025;1992,0
